mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,label
-368.6612854003906,56.346378326416016,16.2359561920166,6.760104656219482,2.2266948223114014,2.875140905380249,-3.3271195888519287,-9.986358642578123,-4.092977046966553,-2.891425371170044,-5.672241687774658,-0.0613802783191204,-1.813587546348572,REAL
-323.8730163574219,71.04930114746094,6.418653964996338,15.01425075531006,-0.5480288863182068,2.1058449745178223,-6.900695323944092,-2.9020466804504395,-6.915262222290039,-16.485004425048828,-0.8107383251190186,-1.4203286170959473,-11.508549690246582,REAL
-353.3994140625,76.23289489746094,17.743345260620117,21.169363021850582,-6.3861403465271,-15.911961555480955,-13.501092910766602,-23.071720123291016,-13.683002471923828,-11.831249237060549,-14.750932693481444,-5.275230407714844,-14.408035278320312,FAKE
-370.6167907714844,72.16166687011719,-1.921345591545105,6.781212329864502,4.2797136306762695,-5.818439960479736,1.7096577882766724,-7.298420429229736,-6.06108283996582,-4.980903625488281,-8.256175994873047,1.1642369031906128,-5.129589080810547,REAL
-305.0060729980469,69.720947265625,-5.627353191375732,57.23020935058594,7.908962726593018,-11.811628341674805,-10.243800163269045,-24.40453147888184,-20.2320499420166,-7.6508636474609375,-18.83242416381836,-0.8314658999443054,2.648392677307129,FAKE
-324.3197326660156,53.37803649902344,-1.8022743463516235,19.971813201904297,-11.585026741027832,-10.225147247314451,-15.464926719665527,-13.940004348754885,-4.334950923919678,-8.783987998962402,-10.48155117034912,3.2621095180511475,-4.793476581573486,FAKE
-193.50254821777344,97.6534194946289,-18.47272682189941,17.411277770996094,-18.536609649658203,-7.852293014526367,-20.277976989746094,-15.74632740020752,-17.96552848815918,-18.994197845458984,-12.60374355316162,-4.586845874786377,-11.636309623718262,FAKE
-347.1463623046875,93.23768615722656,4.537543773651123,18.061861038208008,-2.0426220893859863,2.727907419204712,-3.889959573745728,-19.06181907653809,-11.641253471374512,-7.011981010437012,-5.979246139526367,-1.1293662786483765,-7.017364025115967,FAKE
-250.193115234375,65.30574798583984,-1.1123422384262085,9.797557830810549,-13.695982933044434,0.717056930065155,-16.83426856994629,-13.516345977783203,-11.035252571105955,-12.112126350402832,-3.113888740539551,-8.355453491210938,-11.140517234802246,FAKE
-312.16668701171875,70.15035247802734,-16.981412887573242,34.90704727172852,1.4398030042648315,-11.474810600280762,-11.047581672668455,-20.750600814819336,-12.535962104797363,-2.488006830215454,-15.55650806427002,-0.6817753911018372,0.2140654027462005,REAL
-290.000244140625,72.37798309326172,-12.64480972290039,9.47968578338623,-10.816107749938965,-3.4102509021759038,-22.972017288208008,-17.255842208862305,-10.360023498535156,-11.824836730957031,-7.768707275390625,-7.102353096008301,-5.039792060852051,REAL
-376.2840881347656,59.22406005859375,0.1990149468183517,15.00189208984375,-10.226683616638184,-17.375417709350586,-9.00610637664795,-17.656309127807617,-8.322840690612793,-13.864863395690918,-11.676654815673828,-4.643936634063721,-12.098872184753418,FAKE
-301.4304504394531,64.8850326538086,-7.805381774902344,21.317197799682617,-2.810310125350952,0.690335750579834,-16.818449020385742,-10.51244831085205,-6.180772304534912,-7.896459579467773,-7.162497043609619,-4.901656150817871,-3.8094639778137207,REAL
-384.9080810546875,63.75695037841797,0.3900186419486999,25.74238967895508,3.106426954269409,-5.396968841552734,-8.821569442749023,-23.422014236450195,-17.43910789489746,-11.494349479675291,-10.768006324768066,-2.117478609085083,-4.447000980377197,FAKE
-204.18997192382807,84.81693267822266,-19.23518943786621,24.215932846069336,-8.595766067504883,3.371922254562378,-18.816547393798828,-15.760624885559082,-4.785256385803223,-18.928041458129883,-4.7557373046875,-14.954256057739258,-12.017861366271973,FAKE
-206.61544799804688,104.2159423828125,-28.42162322998047,10.176824569702148,-14.861230850219728,1.88327157497406,-16.241329193115234,-20.91268920898437,-4.6792473793029785,-17.27358055114746,-0.0379669070243835,-13.736014366149902,-14.823941230773926,FAKE
-346.117919921875,51.08962631225586,-2.350950002670288,18.50578498840332,7.382797718048096,5.61246919631958,-14.256940841674805,-9.09539794921875,-3.900800704956055,-11.529119491577148,1.6615078449249268,-3.905673742294312,-5.4601359367370605,REAL
-270.1938171386719,67.0469970703125,-9.884397506713867,21.457996368408203,-6.542562007904053,-1.964890956878662,-9.833648681640623,-10.97513198852539,-6.990419387817383,-14.865187644958496,-5.162110328674316,-7.9468584060668945,-13.22927474975586,REAL
